YYYYMMDD,HH,NO2
20160213,14,22.86
20160213,15,25.05
20160213,16,27.61
20160213,17,31.24
20160213,18,34.93
20160213,19,30.88
20160213,20,28.26
20160213,21,25.41
20160213,22,23.31
20160213,23,19.55
20160214,0,16.81
20160214,1,33.04
20160214,2,23.015
20160214,3,22.21
20160214,4,17.044999999999998
20160214,5,17.165
20160214,6,17.105
20160214,7,18.615000000000002
20160214,8,24.900000000000002
20160214,9,26.905
20160214,10,20.79
20160214,11,16.630000000000003
20160214,12,13.865
20160214,13,14.645
20160214,14,14.53
20160214,15,15.39
20160214,16,18.07
20160214,17,20.235
20160214,18,25.79
20160214,19,29.1
20160214,20,35.63
20160214,21,40.155
20160214,22,43.905
20160214,23,42.93
20160215,0,35.42
20160215,1,28.395
20160215,2,3.78
20160215,3,3.03
20160215,4,2.69
20160215,5,3.31
20160215,6,3.16
20160215,7,8.29
20160215,8,15.74
20160215,9,21.7
20160215,10,15.31
20160215,11,8.82
20160215,12,6.8
20160215,13,6.43
20160215,14,6.2
20160215,15,5.73
20160215,16,8.53
20160215,17,9.23
20160215,18,16.65
20160215,19,27.32
20160215,20,43.0
20160215,21,54.9
20160215,22,64.5
20160215,23,66.31
20160216,0,54.03
20160216,1,66.65
20160216,2,62.26
20160216,3,55.92
20160216,4,46.36
20160216,5,44.42
20160216,6,44.87
20160216,7,54.89
20160216,8,85.26
20160216,9,102.83
20160216,10,128.29
20160216,11,92.0
20160216,12,34.51
20160216,13,14.05
20160216,14,10.73
20160216,15,15.12
20160216,16,14.25
20160216,17,18.26
20160216,18,39.67
20160216,19,68.14
20160216,20,68.18
20160216,21,61.09
20160216,22,67.95
20160216,23,61.78
20160217,0,50.05
20160217,1,53.75
20160217,2,47.31
20160217,3,40.58
20160217,4,46.29
20160217,5,48.23
20160217,6,49.45
20160217,7,51.61
20160217,8,54.04
20160217,9,47.16
20160217,10,37.55
20160217,11,29.46
20160217,12,22.94
20160217,13,23.45
20160217,14,23.44
20160217,15,24.88
20160217,16,27.72
20160217,17,32.81
20160217,18,45.46
20160217,19,60.82
20160217,20,66.55
20160217,21,63.8
20160217,22,63.66
20160217,23,62.64
20160218,0,60.89
20160218,1,55.88
20160218,2,53.27
20160218,3,51.82
20160218,4,49.44
20160218,5,49.89
20160218,6,44.1
20160218,7,47.0
20160218,8,52.17
20160218,9,51.09
20160218,10,45.26
20160218,11,38.19
20160218,12,37.86
20160218,13,33.12
20160218,14,37.62
20160218,15,46.21
20160218,16,51.71
20160218,17,59.96
20160218,18,66.75
20160218,19,65.96
20160218,20,60.58
20160218,21,52.33
20160218,22,46.84
20160218,23,51.6
20160219,0,50.41
20160219,1,42.03
20160219,2,37.18
20160219,3,38.83
20160219,4,43.62
20160219,5,44.82
20160219,6,44.15
20160219,7,46.1
20160219,8,52.64
20160219,9,55.41
20160219,10,58.93
20160219,11,58.91
20160219,12,57.13
20160219,13,51.6
20160219,14,22.92
20160219,15,19.93
20160219,16,17.95
20160219,17,22.77
20160219,18,24.28
20160219,19,43.23
20160219,20,58.63
20160219,21,36.48
20160219,22,32.74
20160219,23,29.9
20160220,0,21.39
20160220,1,22.56
20160220,2,17.95
20160220,3,12.35
20160220,4,7.91
20160220,5,7.63
20160220,6,7.76
20160220,7,8.6
20160220,8,9.19
20160220,9,11.64
20160220,10,14.54
20160220,11,23.08
20160220,12,22.18
20160220,13,14.97
20160220,14,16.31
20160220,15,13.46
20160220,16,11.97
20160220,17,16.39
20160220,18,22.36
20160220,19,15.16
20160220,20,9.76
20160220,21,10.63
20160220,22,10.29
20160220,23,9.77
20160221,0,5.73
20160221,1,6.89
20160221,2,4.38
20160221,3,11.35
20160221,4,12.89
20160221,5,9.1
20160221,6,3.57
20160221,7,9.47
20160221,8,12.67
20160221,9,13.29
20160221,10,10.06
20160221,11,10.11
20160221,12,9.37
20160221,13,9.53
20160221,14,9.33
20160221,15,8.42
20160221,16,8.4
20160221,17,8.62
20160221,18,9.6
20160221,19,7.98
20160221,20,7.43
20160221,21,6.73
20160221,22,6.53
20160221,23,5.87
20160222,0,4.84
20160222,1,6.65
20160222,2,6.79
20160222,3,7.73
20160222,4,5.9
20160222,5,5.83
20160222,6,9.26
20160222,7,19.43
20160222,8,18.78
20160222,9,26.76
20160222,10,31.52
20160222,11,18.32
20160222,12,16.54
20160222,13,11.1
20160222,14,17.29
20160222,15,29.55
20160222,16,21.82
20160222,17,18.01
20160222,18,18.89
20160222,19,23.02
20160222,20,33.84
20160222,21,38.77
20160222,22,45.99
20160222,23,42.95
20160223,0,38.74
20160223,1,32.56
20160223,2,32.0
20160223,3,29.67
20160223,4,28.39
20160223,5,20.24
20160223,6,24.73
20160223,7,38.7
20160223,8,64.37
20160223,9,73.96
20160223,10,51.69
20160223,11,18.39
20160223,12,27.97
20160223,13,19.75
20160223,14,12.73
20160223,15,12.32
20160223,16,11.58
20160223,17,17.17
20160223,18,15.85
20160223,19,25.09
20160223,20,31.81
20160223,21,37.63
20160223,22,27.77
20160223,23,24.91
20160224,0,30.46
20160224,1,44.17
20160224,2,15.29
20160224,3,13.97
20160224,4,18.64
20160224,5,13.49
20160224,6,21.19
20160224,7,35.86
20160224,8,60.23
20160224,9,59.07
20160224,10,50.25
20160224,11,31.95
20160224,12,32.07
20160224,13,18.76
20160224,14,18.03
20160224,15,11.34
20160224,16,12.95
20160224,17,17.47
20160224,18,18.92
20160224,19,32.72
20160224,20,42.59
20160224,21,51.58
20160224,22,32.77
20160224,23,25.56
20160225,0,29.37
20160225,1,28.41
20160225,2,20.06
20160225,3,15.61
20160225,4,16.92
20160225,5,27.81
20160225,6,38.95
20160225,7,45.61
20160225,8,69.83
20160225,9,64.46
20160225,10,52.92
20160225,11,45.91
20160225,12,27.83
20160225,13,20.67
20160225,14,16.43
20160225,15,15.55
20160225,16,15.0
20160225,17,14.04
20160225,18,23.31
20160225,19,30.93
20160225,20,39.96
20160225,21,34.35
20160225,22,71.74
20160225,23,54.24
20160226,0,36.39
20160226,1,27.94
20160226,2,17.28
20160226,3,13.37
20160226,4,12.55
20160226,5,16.12
20160226,6,26.94
20160226,7,40.9
20160226,8,62.56
20160226,9,66.77
20160226,10,69.3
20160226,11,67.76
20160226,12,69.55
20160226,13,66.78
20160226,14,48.29
20160226,15,36.02
20160226,16,32.6
20160226,17,31.53
20160226,18,46.07
20160226,19,74.26
20160226,20,74.14
20160226,21,68.97
20160226,22,73.11
